drug1id,drug2id,drug1dose,drug2dose,combination_name,cellid,batchid,viability1,viability2,viability3,viability4,mu/muMax_published,X/X0_published
Sunitinib,geldanamycin,2.5,0.1,Sunitinib & geldanamycin,A2058,1,0.177,0.129,0.151,0.176,0.08,0.279
Sunitinib,geldanamycin,2.5,0.45,Sunitinib & geldanamycin,A2058,1,0.015,0.017,0.015,0.019,-1.1,0.054
Sunitinib,geldanamycin,2.5,2,Sunitinib & geldanamycin,A2058,1,0.165,0.141,0.159,0.129,0.036,0.263
Temozolomide,ABT-888,2.75,0.35,Temozolomide & ABT-888,A2058,1,0.188,0.147,0.159,0.221,0.11,0.291
Temozolomide,ABT-888,2.75,1.08,Temozolomide & ABT-888,A2058,1,0.115,0.069,0.065,0.109,-0.23,0.182
Temozolomide,ABT-888,2.75,3.25,Temozolomide & ABT-888,A2058,1,0.024,0.017,0.015,0.015,-1.106,0.054
Temozolomide,BEZ-235,2.75,0.4,Temozolomide & BEZ-235,A2058,1,0.216,0.167,0.2,0.171,0.145,0.306
Temozolomide,Bortezomib,2.75,0.00045,Temozolomide & Bortezomib,A2058,1,0.183,0.182,0.122,0.178,0.13,0.299
Temozolomide,Bortezomib,2.75,0.002,Temozolomide & Bortezomib,A2058,1,0.17,0.185,0.162,0.16,0.089,0.283
Temozolomide,Bortezomib,2.75,0.009,Temozolomide & Bortezomib,A2058,1,0.186,0.194,0.202,0.246,0.177,0.32
Temozolomide,Bortezomib,2.75,0.04,Temozolomide & Bortezomib,A2058,1,0.149,0.162,0.162,0.119,0.056,0.27
Temozolomide,Dasatinib,2.75,0.024,Temozolomide & Dasatinib,A2058,1,0.157,0.167,0.19,0.118,0.077,0.278
Temozolomide,Dasatinib,2.75,0.12,Temozolomide & Dasatinib,A2058,1,0.092,0.13,0.093,0.068,-0.209,0.187
Temozolomide,Dasatinib,2.75,0.6,Temozolomide & Dasatinib,A2058,1,0.138,0.085,0.12,0.167,-0.04,0.237
Temozolomide,Erlotinib,2.75,5,Temozolomide & Erlotinib,A2058,1,0.148,0.228,0.166,0.24,0.176,0.319
Temozolomide,Lapatinib,2.75,0.055,Temozolomide & Lapatinib,A2058,1,0.141,0.1,0.133,0.138,-0.015,0.245
Temozolomide,Lapatinib,2.75,0.245,Temozolomide & Lapatinib,A2058,1,0.158,0.178,0.166,0.144,0.076,0.278
Temozolomide,Lapatinib,2.75,1.1,Temozolomide & Lapatinib,A2058,1,0.13,0.177,0.093,0.098,-0.102,0.217
Temozolomide,Lapatinib,2.75,5,Temozolomide & Lapatinib,A2058,1,0.103,0.077,0.088,0.096,-0.211,0.187
Temozolomide,MK-2206,2.75,0.045,Temozolomide & MK-2206,A2058,1,0.031,0.076,0.081,0.069,-0.332,0.158
Temozolomide,MK-2206,2.75,0.2,Temozolomide & MK-2206,A2058,1,0.031,0.039,0.045,0.033,-0.691,0.096
Temozolomide,MK-2206,2.75,0.9,Temozolomide & MK-2206,A2058,1,0.034,0.019,0.019,0.032,-0.864,0.075
Temozolomide,MK-5108,2.75,0.675,Temozolomide & MK-5108,A2058,1,0.089,0.142,0.111,0.219,-0.05,0.233
Temozolomide,MK-5108,2.75,2,Temozolomide & MK-5108,A2058,1,0.159,0.143,0.181,0.136,0.041,0.264
Temozolomide,MK-8669,2.75,0.00011,Temozolomide & MK-8669,A2058,1,0.131,0.152,0.132,0.181,0.008,0.253
Temozolomide,MK-8669,2.75,5e-04,Temozolomide & MK-8669,A2058,1,0.176,0.136,0.2,0.172,0.112,0.292
Temozolomide,MK-8669,2.75,0.00223,Temozolomide & MK-8669,A2058,1,0.187,0.186,0.169,0.173,0.128,0.299
Temozolomide,MK-8669,2.75,0.01,Temozolomide & MK-8669,A2058,1,0.146,0.153,0.17,0.164,0.065,0.274
Temozolomide,MK-8776,2.75,0.0925,Temozolomide & MK-8776,A2058,1,0.106,0.116,0.099,0.098,-0.156,0.201
Temozolomide,MK-8776,2.75,0.325,Temozolomide & MK-8776,A2058,1,0.034,0.044,0.03,0.021,-0.748,0.089
Temozolomide,PD325901,2.75,0.0223,Temozolomide & PD325901,A2058,1,0.224,0.175,0.129,0.142,0.065,0.274
Temozolomide,PD325901,2.75,0.1,Temozolomide & PD325901,A2058,1,0.197,0.161,0.125,0.21,0.127,0.298
Temozolomide,SN-38,2.75,0.000115,Temozolomide & SN-38,A2058,1,0.21,0.19,0.188,0.179,0.155,0.31
Temozolomide,SN-38,2.75,4e-04,Temozolomide & SN-38,A2058,1,0.24,0.193,0.182,0.163,0.15,0.308
Temozolomide,SN-38,2.75,0.00143,Temozolomide & SN-38,A2058,1,0.181,0.163,0.146,0.187,0.106,0.289
Temozolomide,SN-38,2.75,0.005,Temozolomide & SN-38,A2058,1,0.207,0.175,0.119,0.162,0.096,0.286
Temozolomide,Sorafenib,2.75,2.5,Temozolomide & Sorafenib,A2058,1,0.107,0.122,0.098,0.118,-0.107,0.215
Temozolomide,Sorafenib,2.75,5,Temozolomide & Sorafenib,A2058,1,0.103,0.078,0.076,0.082,-0.283,0.169
Temozolomide,geldanamycin,2.75,0.45,Temozolomide & geldanamycin,A2058,1,0.142,0.156,0.119,0.157,0.034,0.262
Temozolomide,geldanamycin,2.75,2,Temozolomide & geldanamycin,A2058,1,0.099,0.114,0.148,0.15,-0.032,0.239
Topotecan,BEZ-235,0.0223,0.0045,Topotecan & BEZ-235,A2058,1,0.083,0.142,0.182,0.124,-0.024,0.242
Topotecan,BEZ-235,0.0223,0.02,Topotecan & BEZ-235,A2058,1,0.259,0.219,0.226,0.259,0.28,0.369
Topotecan,BEZ-235,0.0223,0.09,Topotecan & BEZ-235,A2058,1,0.155,0.13,0.195,0.177,0.088,0.282
Topotecan,BEZ-235,0.0223,0.4,Topotecan & BEZ-235,A2058,1,0.15,0.185,0.153,0.161,0.06,0.272
Topotecan,Dinaciclib,0.0223,0.000925,Topotecan & Dinaciclib,A2058,1,0.184,0.231,0.188,0.16,0.146,0.306
Topotecan,Dinaciclib,0.0223,0.00325,Topotecan & Dinaciclib,A2058,1,0.211,0.215,0.239,0.262,0.248,0.352
Topotecan,Sorafenib,0.0223,10,Topotecan & Sorafenib,A2058,1,0.114,0.14,0.179,0.256,0.067,0.274
Topotecan,Sorafenib,0.0223,20,Topotecan & Sorafenib,A2058,1,0.121,0.108,0.181,0.193,0.041,0.265
Vinblastine,ABT-888,0.000325,0.35,Vinblastine & ABT-888,A2058,1,0.128,0.09,0.142,0.131,-0.039,0.237
Vinblastine,ABT-888,0.000325,1.08,Vinblastine & ABT-888,A2058,1,0.152,0.146,0.145,0.144,0.023,0.258
Vinblastine,ABT-888,0.000325,3.25,Vinblastine & ABT-888,A2058,1,0.114,0.152,0.194,0.197,0.11,0.291
Vinblastine,ABT-888,0.000325,10,Vinblastine & ABT-888,A2058,1,0.22,0.173,0.226,0.265,0.238,0.348
Vinblastine,AZD1775,0.000325,0.0325,Vinblastine & AZD1775,A2058,1,0.22,0.195,0.277,0.225,0.237,0.347
Vinblastine,AZD1775,0.000325,0.08,Vinblastine & AZD1775,A2058,1,0.277,0.233,0.373,0.343,0.406,0.439
Vinblastine,Bortezomib,0.000325,0.009,Vinblastine & Bortezomib,A2058,1,0.275,0.184,0.252,0.249,0.297,0.377
Vinblastine,Bortezomib,0.000325,0.04,Vinblastine & Bortezomib,A2058,1,0.339,0.365,0.154,0.313,0.431,0.454
Vinblastine,Dasatinib,0.000325,0.024,Vinblastine & Dasatinib,A2058,1,0.213,0.36,0.259,0.163,0.268,0.362
Vinblastine,Dasatinib,0.000325,0.12,Vinblastine & Dasatinib,A2058,1,0.208,0.086,0.149,0.266,0.126,0.298
Vinblastine,Dasatinib,0.000325,0.6,Vinblastine & Dasatinib,A2058,1,0.207,0.172,0.099,0.059,-0.016,0.245
Vinblastine,Dasatinib,0.000325,3,Vinblastine & Dasatinib,A2058,1,0.251,0.231,0.159,0.219,0.242,0.35
Vinblastine,Dinaciclib,0.000325,0.000925,Vinblastine & Dinaciclib,A2058,1,0.269,0.162,0.203,0.222,0.214,0.337
Vinblastine,Dinaciclib,0.000325,0.00325,Vinblastine & Dinaciclib,A2058,1,0.208,0.193,0.211,0.141,0.184,0.323
Vinblastine,L778123,0.000325,2,Vinblastine & L778123,A2058,1,0.092,0.227,0.138,0.228,0.137,0.302
Vinblastine,L778123,0.000325,5,Vinblastine & L778123,A2058,1,0.055,0.065,0.077,0.081,-0.345,0.155
Vinblastine,Lapatinib,0.000325,0.055,Vinblastine & Lapatinib,A2058,1,0.057,0.043,0.054,0.077,-0.468,0.131
Vinblastine,Lapatinib,0.000325,0.245,Vinblastine & Lapatinib,A2058,1,0.37,0.359,0.417,0.498,0.527,0.519
Vinblastine,Lapatinib,0.000325,1.1,Vinblastine & Lapatinib,A2058,1,0.052,0.042,0.032,0.029,-0.676,0.098
Vinblastine,Lapatinib,0.000325,5,Vinblastine & Lapatinib,A2058,1,0.025,0.019,0.015,0.026,-0.928,0.069
Vinblastine,MK-2206,0.000325,0.045,Vinblastine & MK-2206,A2058,1,0.022,0.017,0.021,0.011,-1.007,0.062
Vinblastine,MK-2206,0.000325,0.2,Vinblastine & MK-2206,A2058,1,0.143,0.167,0.198,0.148,0.061,0.272
Vinblastine,MK-5108,0.000325,0.675,Vinblastine & MK-5108,A2058,1,0.163,0.149,0.179,0.234,0.104,0.289
Vinblastine,MK-5108,0.000325,2,Vinblastine & MK-5108,A2058,1,0.191,0.171,0.158,0.118,0.085,0.281
Vinblastine,MK-8669,0.000325,0.00011,Vinblastine & MK-8669,A2058,1,0.178,0.183,0.357,0.204,0.167,0.315
Vinblastine,MK-8669,0.000325,5e-04,Vinblastine & MK-8669,A2058,1,0.196,0.167,0.193,0.202,0.168,0.316
Vinblastine,Sorafenib,0.000325,10,Vinblastine & Sorafenib,A2058,1,0.258,0.229,0.184,0.24,0.263,0.36
Vinblastine,Sorafenib,0.000325,20,Vinblastine & Sorafenib,A2058,1,0.274,0.205,0.191,0.354,0.275,0.366
Vinblastine,Sunitinib,0.000325,0.625,Vinblastine & Sunitinib,A2058,1,0.198,0.339,0.206,0.138,0.188,0.325
Vinblastine,Sunitinib,0.000325,1.25,Vinblastine & Sunitinib,A2058,1,0.049,0.012,0.049,0.051,-0.531,0.12
Vinorelbine,ABT-888,0.000325,3.25,Vinorelbine & ABT-888,A2058,1,0.251,0.188,0.194,0.274,0.237,0.347
Vinorelbine,ABT-888,0.000325,10,Vinorelbine & ABT-888,A2058,1,0.305,0.284,0.236,0.278,0.355,0.409
Vinorelbine,AZD1775,0.000325,0.0325,Vinorelbine & AZD1775,A2058,1,0.256,0.286,0.207,0.307,0.338,0.399
Vinorelbine,AZD1775,0.000325,0.08,Vinorelbine & AZD1775,A2058,1,0.047,0.029,0.005,0.063,-0.661,0.1
Vinorelbine,Dasatinib,0.000325,0.6,Vinorelbine & Dasatinib,A2058,1,0.192,0.168,0.169,0.101,0.096,0.286
Vinorelbine,Dasatinib,0.000325,3,Vinorelbine & Dasatinib,A2058,1,0.177,0.168,0.154,0.199,0.108,0.29
Vinorelbine,Dinaciclib,0.000325,0.000925,Vinorelbine & Dinaciclib,A2058,1,0.176,0.153,0.245,0.182,0.127,0.298
Vinorelbine,Dinaciclib,0.000325,0.00325,Vinorelbine & Dinaciclib,A2058,1,0.22,0.177,0.216,0.216,0.222,0.34
Vinorelbine,MK-2206,0.000325,0.9,Vinorelbine & MK-2206,A2058,1,0.122,0.169,0.185,0.251,0.12,0.295
Vinorelbine,MK-2206,0.000325,4,Vinorelbine & MK-2206,A2058,1,0.162,0.106,0.147,0.304,0.053,0.269
Vinorelbine,MK-4827,0.000325,0.223,Vinorelbine & MK-4827,A2058,1,0.148,0.121,0.138,0.209,0.012,0.254
Vinorelbine,MK-4827,0.000325,0.775,Vinorelbine & MK-4827,A2058,1,0.105,0.09,0.09,0.109,-0.181,0.195
Vinorelbine,MK-8776,0.000325,1.15,Vinorelbine & MK-8776,A2058,1,0.091,0.094,0.085,0.161,-0.21,0.187
Vinorelbine,MK-8776,0.000325,4,Vinorelbine & MK-8776,A2058,1,0.092,0.11,0.069,0.233,-0.164,0.199
Vinorelbine,PD325901,0.000325,0.0011,Vinorelbine & PD325901,A2058,1,0.071,0.062,0.067,0.151,-0.357,0.152
Vinorelbine,PD325901,0.000325,0.005,Vinorelbine & PD325901,A2058,1,0.079,0.057,0.076,0.238,-0.3,0.165
Vinorelbine,geldanamycin,0.000325,0.45,Vinorelbine & geldanamycin,A2058,1,0.96,0.988,0.916,0.914,0.968,0.956
Vinorelbine,geldanamycin,0.000325,2,Vinorelbine & geldanamycin,A2058,1,0.834,0.875,0.905,0.944,0.941,0.921
Zolinza,ABT-888,0.0925,0.35,Zolinza & ABT-888,A2058,1,0.907,0.897,0.946,0.861,0.948,0.93
Zolinza,ABT-888,0.0925,1.08,Zolinza & ABT-888,A2058,1,0.885,0.789,0.875,1.024,0.935,0.914
Zolinza,AZD1775,0.325,0.2,Zolinza & AZD1775,A2058,1,0.842,0.807,0.838,0.844,0.912,0.885
Zolinza,AZD1775,0.325,0.5,Zolinza & AZD1775,A2058,1,0.458,0.459,0.409,0.454,0.601,0.576
Zolinza,BEZ-235,0.0925,0.0045,Zolinza & BEZ-235,A2058,1,0.209,0.201,0.211,0.232,0.208,0.334
Zolinza,BEZ-235,0.0925,0.02,Zolinza & BEZ-235,A2058,1,0.126,0.181,0.152,0.135,0.013,0.255
Zolinza,Bortezomib,0.325,0.009,Zolinza & Bortezomib,A2058,1,0.89,1.028,1.034,0.962,0.997,0.996
Zolinza,Bortezomib,0.325,0.04,Zolinza & Bortezomib,A2058,1,0.935,0.952,0.891,0.847,0.954,0.938
Zolinza,Dasatinib,0.0925,0.024,Zolinza & Dasatinib,A2058,1,0.028,0.111,0.025,0.025,-0.84,0.078
Zolinza,Dasatinib,0.0925,0.12,Zolinza & Dasatinib,A2058,1,0.002,0.003,0.003,0.002,-2.079,0.014
Zolinza,Dinaciclib,0.325,0.0115,Zolinza & Dinaciclib,A2058,1,0.711,0.545,0.713,0.799,0.828,0.787
Zolinza,Dinaciclib,0.325,0.04,Zolinza & Dinaciclib,A2058,1,0.798,0.718,0.637,0.718,0.832,0.792
Zolinza,Erlotinib,0.0925,0.055,Zolinza & Erlotinib,A2058,1,0.844,0.823,0.741,0.683,0.875,0.841
Zolinza,Erlotinib,0.0925,0.245,Zolinza & Erlotinib,A2058,1,0.675,0.634,0.661,0.748,0.795,0.753
Zolinza,Gemcitabine,0.325,0.005,Zolinza & Gemcitabine,A2058,1,0.893,0.861,1.057,0.962,0.962,0.948
Zolinza,Gemcitabine,0.325,0.01,Zolinza & Gemcitabine,A2058,1,0.849,0.925,1.022,0.881,0.948,0.931
Zolinza,Lapatinib,0.0925,0.055,Zolinza & Lapatinib,A2058,1,0.424,0.381,0.453,0.448,0.579,0.558
Zolinza,Lapatinib,0.0925,0.245,Zolinza & Lapatinib,A2058,1,0.011,0.018,0.02,0.021,-1.017,0.061
Zolinza,MK-2206,0.325,0.9,Zolinza & MK-2206,A2058,1,0.78,0.831,0.795,0.811,0.889,0.857
Zolinza,MK-2206,0.325,4,Zolinza & MK-2206,A2058,1,0.629,0.689,0.259,0.748,0.788,0.746
Zolinza,MK-4827,0.0925,0.223,Zolinza & MK-4827,A2058,1,0.5,0.595,0.205,0.552,0.674,0.636
Zolinza,MK-4827,0.0925,0.775,Zolinza & MK-4827,A2058,1,0.415,0.42,0.257,0.548,0.556,0.541
Zolinza,MK-5108,0.325,0.675,Zolinza & MK-5108,A2058,1,0.81,0.904,0.978,,0.949,0.932
Zolinza,MK-5108,0.325,2,Zolinza & MK-5108,A2058,1,0.821,0.628,0.877,0.616,0.836,0.797
Zolinza,MK-8669,0.0925,0.00011,Zolinza & MK-8669,A2058,1,0.376,0.415,0.411,0.449,0.551,0.537
Zolinza,MK-8669,0.0925,5e-04,Zolinza & MK-8669,A2058,1,0.427,0.373,0.414,0.501,0.56,0.543
Zolinza,MK-8776,0.325,1.15,Zolinza & MK-8776,A2058,1,0.954,0.968,0.936,1.033,0.98,0.973
Zolinza,MK-8776,0.325,4,Zolinza & MK-8776,A2058,1,0.848,0.94,0.92,0.963,0.963,0.95
Zolinza,Oxaliplatin,0.0925,0.75,Zolinza & Oxaliplatin,A2058,1,0.88,0.902,0.831,0.875,0.933,0.912
Zolinza,Oxaliplatin,0.0925,2.25,Zolinza & Oxaliplatin,A2058,1,0.737,0.738,0.671,0.509,0.822,0.781
Zolinza,PD325901,0.325,0.0223,Zolinza & PD325901,A2058,1,0.942,0.962,0.957,0.889,0.974,0.964
Zolinza,PD325901,0.325,0.1,Zolinza & PD325901,A2058,1,0.911,0.841,0.902,0.825,0.93,0.908
Zolinza,SN-38,0.0925,0.000115,Zolinza & SN-38,A2058,1,0.61,0.622,0.655,0.781,0.772,0.729
Zolinza,SN-38,0.0925,4e-04,Zolinza & SN-38,A2058,1,0.459,0.429,0.522,0.47,0.611,0.583
Zolinza,Sorafenib,0.325,10,Zolinza & Sorafenib,A2058,1,0.908,1.01,0.931,0.886,0.957,0.943
Zolinza,Sorafenib,0.325,20,Zolinza & Sorafenib,A2058,1,0.838,0.95,0.813,0.778,0.903,0.874
Zolinza,Sunitinib,0.0925,0.625,Zolinza & Sunitinib,A2058,1,0.61,0.554,0.156,0.394,0.621,0.591
Zolinza,Sunitinib,0.0925,1.25,Zolinza & Sunitinib,A2058,1,0.087,0.08,0.107,0.116,-0.185,0.193
Zolinza,Topotecan,0.325,0.275,Zolinza & Topotecan,A2058,1,1.006,1.079,1.037,0.989,1.011,1.015
Zolinza,Topotecan,0.325,1,Zolinza & Topotecan,A2058,1,0.935,1.023,0.961,0.139,0.973,0.963
Zolinza,geldanamycin,0.0925,0.0223,Zolinza & geldanamycin,A2058,1,0.598,0.506,0.538,0.537,0.685,0.646
Zolinza,geldanamycin,0.0925,0.1,Zolinza & geldanamycin,A2058,1,0.028,0.038,0.03,0.065,-0.718,0.092
geldanamycin,Dinaciclib,0.0223,0.0115,geldanamycin & Dinaciclib,A2058,1,0.478,0.115,0.464,0.504,0.618,0.589
geldanamycin,Dinaciclib,0.0223,0.04,geldanamycin & Dinaciclib,A2058,1,0.145,0.197,0.121,0.097,-0.024,0.242
geldanamycin,MK-8776,0.0223,0.0925,geldanamycin & MK-8776,A2058,1,0.122,0.195,0.208,0.179,0.148,0.307
geldanamycin,MK-8776,0.0223,0.325,geldanamycin & MK-8776,A2058,1,0.099,0.055,0.06,0.086,-0.328,0.159
geldanamycin,Sorafenib,0.0223,10,geldanamycin & Sorafenib,A2058,1,0.961,0.842,0.916,0.889,0.948,0.93
geldanamycin,Sorafenib,0.0223,20,geldanamycin & Sorafenib,A2058,1,0.386,0.506,0.355,0.341,0.497,0.498
geldanamycin,Topotecan,0.0223,0.0223,geldanamycin & Topotecan,A2058,1,0.087,0.101,0.105,0.1,-0.167,0.198
geldanamycin,Topotecan,0.0223,0.0775,geldanamycin & Topotecan,A2058,1,0.09,0.043,0.112,0.103,-0.187,0.193
5-FU,Bortezomib,0.35,0.00045,5-FU & Bortezomib,A2780,1,0.214,0.195,0.186,0.223,0.384,0.426
5-FU,Bortezomib,0.35,0.002,5-FU & Bortezomib,A2780,1,0.18,0.17,0.192,0.211,0.348,0.405
5-FU,Bortezomib,0.35,0.009,5-FU & Bortezomib,A2780,1,0.235,0.192,0.193,0.154,0.36,0.412
5-FU,Bortezomib,0.35,0.04,5-FU & Bortezomib,A2780,1,0.206,0.169,0.13,0.155,0.294,0.376
5-FU,L778123,0.35,0.325,5-FU & L778123,A2780,1,0.2,0.216,0.228,0.186,0.39,0.429
5-FU,L778123,0.35,0.8,5-FU & L778123,A2780,1,0.183,0.171,0.162,0.178,0.321,0.39
5-FU,L778123,0.35,2,5-FU & L778123,A2780,1,0.141,0.135,0.113,0.114,0.19,0.325
5-FU,L778123,0.35,5,5-FU & L778123,A2780,1,0.054,0.062,0.069,0.071,-0.06,0.23
5-FU,MK-5108,0.35,0.075,5-FU & MK-5108,A2780,1,0.231,0.195,0.198,0.144,0.368,0.416
5-FU,MK-5108,0.35,0.225,5-FU & MK-5108,A2780,1,0.164,0.18,0.195,0.15,0.316,0.387
5-FU,MK-5108,0.35,0.675,5-FU & MK-5108,A2780,1,0.081,0.107,0.091,0.092,0.071,0.276
5-FU,MK-5108,0.35,2,5-FU & MK-5108,A2780,1,0.085,0.091,0.085,0.077,0.041,0.265
5-FU,Sorafenib,0.35,2.5,5-FU & Sorafenib,A2780,1,0.218,0.249,0.217,0.18,0.407,0.44
5-FU,Sorafenib,0.35,5,5-FU & Sorafenib,A2780,1,0.252,0.189,0.213,0.18,0.377,0.421
5-FU,Sorafenib,0.35,10,5-FU & Sorafenib,A2780,1,0.007,0.003,0.003,0.01,-1.035,0.06
5-FU,Sorafenib,0.35,20,5-FU & Sorafenib,A2780,1,0,0.001,0,0.001,-1.683,0.024
5-FU,geldanamycin,0.35,0.0223,5-FU & geldanamycin,A2780,1,0.165,0.173,0.076,0.131,0.257,0.357
5-FU,geldanamycin,0.35,0.1,5-FU & geldanamycin,A2780,1,0.152,0.135,0.35,0.12,0.247,0.352
5-FU,geldanamycin,0.35,0.45,5-FU & geldanamycin,A2780,1,0.13,0.142,0.09,0.026,0.143,0.305
5-FU,geldanamycin,0.35,2,5-FU & geldanamycin,A2780,1,0.163,0.153,0.139,0.143,0.258,0.358
ABT-888,MK-8776,0.35,0.0925,ABT-888 & MK-8776,A2780,1,0.261,0.2,0.181,0.236,0.408,0.44
ABT-888,MK-8776,0.35,0.325,ABT-888 & MK-8776,A2780,1,0.193,0.184,0.207,0.157,0.352,0.407
ABT-888,MK-8776,0.35,1.15,ABT-888 & MK-8776,A2780,1,0.15,0.013,0.007,0.008,-0.768,0.086
ABT-888,MK-8776,0.35,4,ABT-888 & MK-8776,A2780,1,0.016,0.017,0.017,0.017,-0.584,0.111
ABT-888,Topotecan,0.35,0.0223,ABT-888 & Topotecan,A2780,1,0.218,0.208,0.223,0.201,0.399,0.435
ABT-888,Topotecan,0.35,0.0775,ABT-888 & Topotecan,A2780,1,0.29,0.052,0.187,0.155,0.313,0.386
ABT-888,Topotecan,0.35,0.275,ABT-888 & Topotecan,A2780,1,0.137,0.136,0.135,0.105,0.223,0.34
ABT-888,Topotecan,0.35,1,ABT-888 & Topotecan,A2780,1,0.071,0.038,0.053,0.05,-0.153,0.202
AZD1775,Dasatinib,0.0325,0.024,AZD1775 & Dasatinib,A2780,1,0.179,0.172,0.147,0.176,0.321,0.39
AZD1775,Dasatinib,0.0325,0.12,AZD1775 & Dasatinib,A2780,1,0.171,0.117,0.127,0.142,0.221,0.34
AZD1775,Dasatinib,0.0325,0.6,AZD1775 & Dasatinib,A2780,1,0.137,0.135,0.123,0.11,0.206,0.333
AZD1775,Dasatinib,0.0325,3,AZD1775 & Dasatinib,A2780,1,0.122,0.091,0.09,0.103,0.095,0.285
AZD1775,MK-2206,0.0325,0.045,AZD1775 & MK-2206,A2780,1,0.246,0.213,0.211,0.201,0.397,0.433
AZD1775,MK-2206,0.0325,0.2,AZD1775 & MK-2206,A2780,1,0.242,0.157,0.171,0.23,0.376,0.421
AZD1775,MK-2206,0.0325,0.9,AZD1775 & MK-2206,A2780,1,0.237,0.224,0.215,0.223,0.418,0.446
AZD1775,MK-2206,0.0325,4,AZD1775 & MK-2206,A2780,1,0.173,0.079,0.071,0.079,0.015,0.255
AZD1775,MK-8776,0.0325,0.0925,AZD1775 & MK-8776,A2780,1,0.212,0.044,0.099,0.177,0.23,0.344
AZD1775,MK-8776,0.0325,0.325,AZD1775 & MK-8776,A2780,1,0.201,0.184,0.241,0.157,0.36,0.412
AZD1775,MK-8776,0.0325,1.15,AZD1775 & MK-8776,A2780,1,0.169,0.06,0.152,0.13,0.238,0.348
AZD1775,MK-8776,0.0325,4,AZD1775 & MK-8776,A2780,1,0.15,0.121,0.141,0.138,0.236,0.347
AZD1775,Sorafenib,0.0325,2.5,AZD1775 & Sorafenib,A2780,1,0.226,0.214,0.17,0.187,0.377,0.422
AZD1775,Sorafenib,0.0325,5,AZD1775 & Sorafenib,A2780,1,0.181,0.146,0.176,0.135,0.291,0.374
AZD1775,Sorafenib,0.0325,10,AZD1775 & Sorafenib,A2780,1,0.133,0.114,0.134,0.118,0.194,0.327
AZD1775,Sorafenib,0.0325,20,AZD1775 & Sorafenib,A2780,1,0.122,0.125,0.135,0.106,0.188,0.324
BEZ-235,MK-8776,0.0045,0.0925,BEZ-235 & MK-8776,A2780,1,0.217,0.199,0.179,0.176,0.353,0.408
BEZ-235,MK-8776,0.0045,0.325,BEZ-235 & MK-8776,A2780,1,0.206,0.16,0.174,0.161,0.307,0.382
BEZ-235,MK-8776,0.0045,1.15,BEZ-235 & MK-8776,A2780,1,0.13,0.114,0.139,0.214,0.221,0.34
BEZ-235,MK-8776,0.0045,4,BEZ-235 & MK-8776,A2780,1,0.124,0.489,0.071,0.103,0.156,0.31
Bortezomib,BEZ-235,0.00045,0.0045,Bortezomib & BEZ-235,A2780,1,0.174,0.186,0.18,0.184,0.338,0.4
Bortezomib,BEZ-235,0.00045,0.02,Bortezomib & BEZ-235,A2780,1,0.162,0.063,0.134,0.147,0.238,0.348
Bortezomib,BEZ-235,0.00045,0.09,Bortezomib & BEZ-235,A2780,1,0.158,0.187,0.128,0.144,0.265,0.361
Bortezomib,BEZ-235,0.00045,0.4,Bortezomib & BEZ-235,A2780,1,0.138,0.225,0.145,0.122,0.241,0.349
Bortezomib,Oxaliplatin,0.00045,0.75,Bortezomib & Oxaliplatin,A2780,1,0.243,0.224,0.173,0.179,0.378,0.422
Bortezomib,Oxaliplatin,0.00045,2.25,Bortezomib & Oxaliplatin,A2780,1,0.202,0.197,0.166,0.208,0.373,0.419
Bortezomib,Oxaliplatin,0.00045,6.75,Bortezomib & Oxaliplatin,A2780,1,0.173,0.144,0.148,0.164,0.278,0.367
Bortezomib,Oxaliplatin,0.00045,20,Bortezomib & Oxaliplatin,A2780,1,0.148,0.15,0.149,0.177,0.263,0.36
Bortezomib,geldanamycin,0.00045,0.0223,Bortezomib & geldanamycin,A2780,1,0.199,0.172,0.148,0.179,0.324,0.392
Bortezomib,geldanamycin,0.00045,0.1,Bortezomib & geldanamycin,A2780,1,0.194,0.158,0.15,0.145,0.274,0.365
Bortezomib,geldanamycin,0.00045,0.45,Bortezomib & geldanamycin,A2780,1,0.147,0.142,0.124,0.168,0.248,0.353
Bortezomib,geldanamycin,0.00045,2,Bortezomib & geldanamycin,A2780,1,0.142,0.161,0.108,0.126,0.22,0.339
Carboplatin,Dasatinib,0.825,0.024,Carboplatin & Dasatinib,A2780,1,0.215,0.113,0.168,0.151,0.287,0.372
Carboplatin,Dasatinib,0.825,0.12,Carboplatin & Dasatinib,A2780,1,0.118,0.023,0.094,0.143,0.128,0.299
Carboplatin,Dasatinib,0.825,0.6,Carboplatin & Dasatinib,A2780,1,0.038,0.06,0.026,0.01,-0.336,0.157
Carboplatin,Dasatinib,0.825,3,Carboplatin & Dasatinib,A2780,1,0,0.001,0,0,-1.683,0.024
Carboplatin,Lapatinib,0.825,0.055,Carboplatin & Lapatinib,A2780,1,0.188,0.17,0.16,0.148,0.3,0.379
Carboplatin,Lapatinib,0.825,0.245,Carboplatin & Lapatinib,A2780,1,0.127,0.122,0.104,0.128,0.19,0.325
Carboplatin,Lapatinib,0.825,1.1,Carboplatin & Lapatinib,A2780,1,0.101,0.088,0.068,0.094,0.068,0.275
Carboplatin,Lapatinib,0.825,5,Carboplatin & Lapatinib,A2780,1,0.061,0.044,0.04,0.049,-0.192,0.192
Carboplatin,MK-8669,0.825,0.00011,Carboplatin & MK-8669,A2780,1,0.247,0.179,0.113,0.201,0.355,0.409
